 250 0.853
 390 0.853
 400 0.860
 410 0.867
 420 0.873
 430 0.877
 440 0.881
 450 0.886
 460 0.890
 470 0.893
 480 0.896
 490 0.898
 500 0.900
 510 0.901
 520 0.903
 530 0.905
 540 0.905
 550 0.906
 560 0.907
 570 0.908
 580 0.910
 590 0.910
 600 0.911
 610 0.911
 620 0.910
 630 0.910
 640 0.910
 650 0.910
 660 0.910
 670 0.909
 680 0.909
 690 0.908
 700 0.907
 710 0.907
 720 0.906
 730 0.905
 740 0.904
 750 0.903
 760 0.902
 770 0.901
 780 0.900
 790 0.898
 800 0.897
 810 0.895
 820 0.894
 830 0.892
 840 0.890
 850 0.888
 860 0.885
 870 0.882
 880 0.878
 890 0.875
 900 0.871
 910 0.867
 920 0.863
 930 0.857
 940 0.851
 950 0.845
 960 0.838
 970 0.830
 980 0.822
 990 0.813
1000 0.803
1010 0.794
1020 0.785
1340 0.370
1360 0.366
1380 0.348
1400 0.287
1420 0.183
1440 0.106
1460 0.042
1480 0.025
1500 0.021
1520 0.022
1540 0.026
1560 0.030
1580 0.035
1600 0.041
1620 0.042
1640 0.052
1660 0.063
1680 0.070
1700 0.080
1720 0.092
1740 0.097
1760 0.109
1780 0.113
1800 0.120
1820 0.128
1840 0.128
1860 0.112
1880 0.081
1900 0.029
1920 0.012
1940 0.009
1960 0.009
1980 0.007
2000 0.009
2020 0.007
2040 0.007
2060 0.007
2080 0.008
2100 0.012
2120 0.016
2140 0.025
2160 0.035
2180 0.048
2200 0.060
2220 0.072
2240 0.077
2260 0.074
2280 0.062
2300 0.045
2320 0.034
2340 0.026
2360 0.021
2380 0.016
2400 0.015
2420 0.014
2440 0.012
2460 0.009
2480 0.007
4500 0.007
